mot	valeur
condamne	-2
confiance	2
confiance en soi	2
conflit	-2
conflit	-2
conflit	-2
conflits armés	-2
confusion	-2
confusion	-2
confusion	-2
félicitations	2
Félicitations	2
félicitations	2
Félicitations	2
consentement	2
consentements	2
consolable	2
conspiration	-3
contrainte	-2
contagion	-2
contagions	-2
contagieux	-1
outrage	-2
outrageux	-2
mépriseusement	-2
soutenir	-1
prétendant	-1
concurrence	-1
litigieux	-2
contestable	-2
controverse	-2
controverséement	-2
convaincre	1
Convaincus	1
convainc	1
de convivialité	2
frais	1
Des trucs cool	3
coincés	-2
cadavre	-1
coûteux	-2
courage	2
courageux	2
courtois	2
courtoisie	2
Couverture	-3
lâche	-2
lâcheté	-2
Cozyness	2
crampe	-1
C'est de la merde.	-3
accident	-2
C'est plus fou.	-2
C'est le plus fou.	-2
C'est fou.	-2
créatif	2
crestfallen	-2
pleuré	-2
cris	-2
la criminalité	-3
Délinquants	-3
criminels	-3
crise	-3
critique	-2
critiques	-2
critique	-2
critiqués	-2
critique	-2
critiquer	-2
critiques	-2
cruel	-3
cruauté	-3
écrasement	-1
broyés	-2
écrasements	-1
concassage	-1
pleurer	-1
pleurant	-2
Connasse	-5
curieux	1
malédiction	-1
Couper	-1
mignon	2
coupes	-1
Découpe	-1
cynique	-2
cynique	-2
cynisme	-2
Dommages	-3
dommages-intérêts	-3
C'est pas vrai.	-4
Damnés	-4
Nom d'un chien	-4
danger	-2
oostdevil	2
osé	2
les plus foncés	-2
obscurité	-1
impitoyable	2
mort	-3
dans l ' impasse	-2
assourdissement	-1
Chère	2
Chère	3
décès	-2
debonair	2
dette	-2
tromperie	-3
tromperie	-3
tromper	-3
trompés	-3
tromperies	-3
tromperie	-3
La tromperie	-3
décisif	1
dédié	2
vaincu	-2
Défaut	-3
défauts	-3
défenseur	2
défenseurs des droits de l ' homme	2
sans défense	-2
ajourner	-1
Report de l ' exécution	-1
défiant	-1
déficit	-2
Dégradation	-2
dégradé	-2
dégradations	-2
déshumaniser	-2
déshumanisé	-2
déshumanisants	-2
déshumanisation	-2
Déjecter	-2
déjecté	-2
Déjection	-2
Déjects	-2
retard	-1
retard	-1
délice	3
enchanté	3
délices	3
délices	3
demande	-1
demandé	-1
exigeant	-1
demande	-1
démonstration	-1
démoralisée	-2
refusé	-2
dentier	-2
les dénonciateurs;	-2
nie	-2
dénoncer	-2
dénonce	-2
nier	-2
en niant	-2
dépression	-2
déprimant	-2
dérailleur	-2
déraillés	-2
déraillements	-2
Déridez-vous	-2
dérisoires	-2
Dérivés	-2
Débarquement	-2
dérision	-2
souhaitable	2
désir	1
désiré	2
Désireux	2
désespoir	-3
désespérant	-3
des désespoirs	-3
désespérément	-3
désespérément	-3
destinataires	-3
détruire	-3
détruit	-3
détruisant	-3
détruit	-3
destruction	-3
destructeurs	-3
détaché	-1
Détention	-2
Détenus	-2
Détention	-2
déterminée	2
devastate	-2
dévastés	-2
dévastatrice	-2
consacrée	3
diamant	1
bite	-4
tête de bite	-4
mort	-3
mort	-3
difficile	-1
différent	-2
dilemme	-1
C'est pas vrai.	-3
- C'est pas vrai.	-3
C'est terrible.	-3
la saleté	-2
plus sale	-2
les plus sales	-2
C'est sale.	-2
invalidation	-1
désavantage	-2
défavorisé	-2
disparaître	-1
disparu	-1
disparaît	-1
décevoir	-2
déçu	-2
décevant	-2
déception	-2
déceptions	-2
les déceptions	-2
catastrophe	-2
catastrophes naturelles	-2
désastreux	-3
N'est-ce pas ?	-2
Jetez-le.	-1
rejetés	-1
Rejets	-1
déchets	-1
Disconsolation	-2
disconsolation	-2
mécontent	-2
discorde	-2
Montant actualisé	-1
découragé	-2
discrédité	-2
dédain	-2
la honte	-2
déshonorés	-2
déguisement	-1
déguisés	-1
déguisements	-1
déguisant	-1
dégoûtant	-3
dégoûtés	-3
dégoûtant	-3
découragé	-2
malhonnête	-2
désillusionnés	-2
succinctement	-2
disjoints	-2
n'aime pas	-2
lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal,	-2
consterné	-2
Affections du système nerveux	-2
désorganisé	-2
désorientée	-2
dépeuplement	-2
dépréciés	-2
disparates	-2
dépeuplement	-2
déplaisir	-2
différend	-2
litigieux	-2
différends	-2
la contestation	-2
disqualifié	-2
Le problème, c'est qu'il n'y a pas de problème.	-2
oubli	-2
non pris en considération	-2
oubliant	-2
oublis	-2
manque de respect	-2
irrespectueux	-2
Perturbation	-2
Perturbations	-2
perturbateur	-2
insatisfait	-2
fausse	-2
déformé	-2
déformage	-2
déforme	-2
Distraire	-2
distrait	-2
distraction	-2
Les distractions	-2
détresse	-2
affligé	-2
détresses	-2
affligeant	-2
défiance	-3
méfiant	-3
Perturbation	-2
perturbé	-2
dérangeant	-2
dérangement	-2
Dithering	-2
étourdissements	-1
les mesures d'esquive;	-2
C'est un peu d'escroquerie.	-2
ne fonctionne pas	-3
doloreux	-2
n'aime pas	-2
mort	-2
condamné	-2
doute	-1
douteux	-1
douteux	-1
doute	-1
doutes	-1
Dégonflé	-3
sac à dos	-3
downcast	-2
d'un cœur débordé	-2
à l'envers	-2
Traîner	-1
traînée	-1
traînées	-1
égouttés	-2
Crainte	-2
redouté	-2
C'est terrible.	-3
redoutant	-2
Rêve	1
rêves	1
dreary	-2
Dropy	-2
chute	-1
noyé	-2
noyés	-2
noyés	-2
ivre	-2
douteux	-2
d'une valeur n'excédant pas 50 % du prix départ usine du produit	-2
terne	-2
Imbécile	-3
Imbécile	-3
dépotoir	-1
faisant l'objet d'un dumping	-2
décharges	-1
Duppé	-2
Dumped	-2
dysfonctionnement	-2
Avide	2
sérieux	2
facilité	2
facile	1
extatique	4
L'industrie de l'Union européenne	-2
A l'heure actuelle, l'industrie de l'Union européenne a connu une forte croissance de l'industrie de l'Union européenne et de l'industrie de l'Union européenne.	-2
efficace	2
efficace	2
plébiscité	3
l'allégeance	3
élégant	2
élégamment	2
embarrassant	-2
embarrassé	-2
embarrasse	-2
embarrassant	-2
embarrassement	-2
embusqués	-2
embrasser	1
urgence	-2
empathique	2
vide	-1
vide	-1
enchanté	2
encourager	2
encouragés	2
l'encouragement	2
encourage	2
approuver	2
approuvé	2
a) Attestation	2
approuve	2
ennemis	-2
ennemi	-2
énergétique	2
s'engager	1
s'engage	1
engrais	1
Profitez-en	2
Appréciation	2
se réjouit	2
illuminée	2
éclairé	2
Illumination	2
illuminées	2
Ennui	-2
Enrage	-2
furieuse	-2
enrages	-2
enragées	-2
encapture	3
enslave	-2
asservi	-2
enslaves	-2
veiller à ce que	1
en veillant à ce que	1
entreprenants	1
divertissant	2
enthral	3
enthousiaste	3
intitulé	1
confiée	2
envies	-1
envieux	-2
envie	-1
envieuse	-1
Erreur	-2
erreur	-2
erreurs	-2
Échappement	-1
évasions	-1
Échapper	-1
estimés	2
éthique	2
euphorie	3
euphorique	4
expulsion	-1
le mal	-3
Exagération	-2
exagéré	-2
exagérations	-2
Exagération	-2
exaspéré	2
excellence	3
Excellent	3
Excite	3
excité	3
excitation	3
excitant	3
exclure	-1
exclus	-2
exclusion	-1
exclusif	2
Excuse-moi.	-1
Exempt	-1
épuisé	-2
exaltés	3
exaltants	3
exaltant	3
exonéré	2
exonérés	2
exonérés	2
exonérant	2
élargir	1
élargit	1
expulser	-2
expulsés	-2
expulsement	-2
expulsements	-2
de l ' exploitation des ressources	-2
exploités	-2
de l ' exploitation des ressources	-2
Exploitations	-2
et de l ' exploration	1
des activités d ' exploration	1
exposer	-1
exposée	-1
expose	-1
exposé	-1
Prolongation	1
s'étend	1
exubérant	4
exultant	3
exultant	3
fabuleux	4
mode	-2
pédé	-3
Fraggot	-3
Poufs	-3
Échec	-2
échoué	-2
Échec	-2
échoue	-2
Défaut	-2
défaillances	-2
évanouissement	-2
équitable	2
la foi	1
Fidèles	3
faux	-3
faux	-3
ficelle	-3
tombé	-2
chute	-1
falsifiés	-3
falsifier	-3
célébrité	1
Ventilateur	3
Fantastique	4
farce	-1
fascinée	3
fasciné	3
fascinés	3
fascinant	3
fasciste	-2
fascistes	-2
Décès	-3
fatalité	-3
fatigue	-2
fatigué	-2
fatigues	-2
Pâturage	-2
faveur	2
faveurs	2
favori	2
favorid	2
favoris	2
faveurs	2
peur	-2
peureux	-2
peur	-2
sans peur	2
peureux	-2
J'en ai assez.	-3
faible	-2
sensation	1
Délits	-3
Délits	-3
Fervent	2
fervide	2
festive	2
Fiasco	-3
Fidgety	-2
Lutte	-1
Très bien.	2
Feu	-2
Tiré	-2
tir	-2
en forme	1
conditionnement physique	1
amiral	2
fuit	-1
C'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon, c'est bon,	-2
Les flops	-2
Grippe	-2
hystériques	-2
focalisé	2
Œufs	2
la tendresse	2
Imbécile	-2
Crétin	-2
Imbéciles	-2
forcé	-1
forclusion	-2
les saisies	-2
oublier	-1
Oubliés	-2
pardonne	1
Pardonner	1
oublié	-1
Heureusement	2
frénétique	-1
fraude	-4
fraudes	-4
fraudeur	-4
fraudeurs	-4
fraude	-4
frauduleux	-4
gratuit	1
liberté	2
Frénésie	-3
frais	1
amical	2
peur	-2
peur	-2
effrayant	-3
friandises	-2
C'est pas vrai.	2
froncement	-1
frustré	-2
frustré	-2
frustrés	-2
frustrant	-2
frustration	-2
Ftw	3
Merde !	-4
baisée	-4
Espèce d'enfoiré.	-4
enculés	-4
putain de visage	-4
Imbécile	-4
putain	-4
C'est quoi, ce bordel ?	-4
Fud	-3
fumées	-4
Fumer	-4
remplir	2
satisfait	2
Réalisations	2
la fumure;	-2
amusant	4
obsèques	-1
enterrements	-1
Funky	2
plus drôle	4
drôle	4
furieuse	-3
futile	2
Bâillon	-2
bâillonné	-2
gain	2
gagnés	2
gagner	2
gains	2
galant	3
galantement	3
la galanterie	3
généreux	2
génie	3
fantôme	-1
C'est pas vrai.	-2
cadeau	2
heureux	3
glamour	3
glamour	3
joie	3
glorieuse	3
Légèreté	-1
Lugubre	-2
glorieuse	2
gloire	2
glum	-2
Dieu	1
C'est pas vrai.	-3
La fin des dieux	4
Bonne	3
Mon Dieu.	3
grâce	1
C'est gentil.	3
Très bien.	3
Aide financière	1
accordée	1
l'octroi de l'aide	1
bourses d'études	1
reconnaissant	3
gratification	2
tombe	-2
gris	-1
Génial.	3
plus élevé	3
le plus grand	3
cupidité	-3
cupide	-2
Lavage vert	-3
lavage vert	-3
l'eau verte;	-3
lave-vaisselle vert	-3
lave-glaces	-3
le lavage vert;	-3
Accueil	1
accueillis	1
salutation	1
salutations	2
salutations	1
gris	-1
chagrin	-2
dans le cas d ' un cas de deuil	-2
Montant brut	-2
croissance	1
croissance	2
garantie	1
culpabilité	-3
coupable	-3
cylindrée	-2
crédule	-2
arme à feu	-1
hé	2
piraté	-1
Haha	3
Hahaha	3
HAHAHAH	3
Grêle	2
grêlé	2
sans asphalte	-2
n'ayant pas atteint l'âge de 12 ans,	-2
bonheur	3
heureux	3
dur	-1
plus dur	2
difficultés rencontrées	-2
robuste	2
Dommages	-2
Blessé	-2
nocive	-2
endommagement	-2
Dommages	-2
harcelé	-2
dures	-2
Plus sévère	-2
C'est le plus dur.	-2
La haine	-3
Détesté	-3
Les haïsseurs	-3
La haine	-3
haïssement	-3
hantement	-1
hanté	-2
hantement	1
hantés	-1
des ravages	-2
en bonne santé	2
déchirement du cœur	-3
coeur brisé	-3
sincère	3
ciel	2
céleste	4
coeur lourd	-2
Qu'est-ce qu'il y a ?	-4
Aide	2
utile	2
aider	2
sans défense	-2
aide	2
héros	2
héros	2
héroïque	3
hésitant	-2
hésitation	-2
caché	-1
cache-toi	-1
cache-cache	-1
Se cacher	-1
mise en évidence	2
hilarant	2
empêchement	-2
Le canular	-2
Le mal du pays	-2
honnête	2
honneur	2
honoré	2
en l ' honneur	2
honneur	2
honoré	2
de l ' honneur	2
Hooligan	-2
hooliganisme	-2
les hooligans	-2
espoir	2
Espérons	2
Espérons	2
désespérément	-2
Espérance	-2
l'espoir	2
dans l ' espoir	2
C'est affreux.	-3
horrible	-3
horrible	-3
horrifié	-3
hostile	-2
C'est pas vrai.	-2
Câlin	2
énorme	1
Câlins	2
huméreux	3
humilié	-3
humiliation	-3
humour	2
humoristique	2
humour	2
humoristique	2
faim	-2
hoprah	5
blessé	-2
Blessures	-2
Blessures	-2
hypocrite	-2
hystérie	-3
hystérique	-3
hystérique	-3
Imbécile	-3
Imbécile	-3
ignorance	-2
ignorant	-2
Ignorer	-1
ignoré	-2
ignore	-1
malade	-2
illégale	-3
analphabétisme	-2
maladie	-2
maladies	-2
Imbécile	-3
immobilisé	-1
immortel	2
immunitaire	1
impatient	-2
imparfait	-2
importance	2
important	2
imposer	-1
imposée	-1
impose	-1
imposant	-1
impotent	-2
impressionner	3
impressionné	3
impressionne	3
impressionnant	3
emprisonnés	-2
améliorer	2
amélioré	2
amélioration	2
améliore	2
l ' amélioration	2
incapacité	-2
inaction	-2
insuffisant	-2
incapable	-2
inapte	-2
encensés	-2
incompétence	-2
incompétent	-2
sans considération	-2
Inconvénients	-2
incommode	-2
augmentation	1
augmenté	1
indécis	-2
indestructible	2
indifférence	-2
indifféremment	-2
indigné	-2
indignation	-2
endoctrine	-2
endoctrinement	-2
endoctrines	-2
endoctrinement	-2
inefficace	-2
inefficacement	-2
en matières grasses	2
engourdissement	2
infectés	-2
inférieur	-2
enflammé	-2
influence	2
Infraction	-2
autres, contenant en poids plus de 85 % en poids de matières textiles, d'une teneur en poids de matières textiles ou d'une teneur en poids de matières textiles, d'une teneur en poids de matières textiles, d'une teneur en poids de matières textiles ou d'une teneur en poids de matières textiles	-2
en fer ou en acier	-2
les furiacés	-2
et de l ' alimentation	-2
inhiber	-1
blessé	-2
Blessure	-2
l'injustice	-2
innover	1
innove	1
l'innovation	1
innovant	2
enquêté	-2
Inquisitif	2
fous	-2
insanité	-2
Insûreté	-2
insensible	-2
insensibilité	-2
insignifiant	-2
Insipide	-2
l'inspiration	2
Inspiration	2
Inspirer	2
inspiré	2
est source d'inspiration	2
inspirant	3
insulte	-2
insulté	-2
insultant	-2
insultes	-2
intact	2
intégrité	2
intelligent	2
intense	1
Intérêts	1
intéressé(e)	2
intéressant	2
Intérêts	1
interrogés	-2
interrompre	-2
interrompu	-2
interruption	-2
interruption	-2
interruptions	-2
intimider	-2
intimidé	-2
intimidants	-2
intimidant	-2
intimidation	-2
complexe	2
intrigues	1
invincible	2
inviter	1
invitant	1
invulnérable	2
irate	-3
ironique	-1
ironie	-1
irrationnel	-1
irrésistible	2
irrésolue	-2
irresponsable	2
irréversible	-1
irritant	-3
irrité	-3
irritant	-3
isolé	-1
démangeaisons	-2
Abruti	-4
des types utilisés pour la fabrication de produits de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche	-4
emprisonnés	-2
jaunty	2
jaloux	-2
mise en péril	-2
Imbécile	-3
Jésus	1
Bijoux	1
bijoux	1
joculaire	2
joignez-vous	1
blague	2
blagues	2
Joly, c'est tout.	2
jovial	2
joie	3
joyeux	3
joyeusement	3
Sans joie	-2
joyeux	3
jubilaire	3
ruisselant	-1
justice	2
À juste titre	2
justifiés	2
Intéressant	1
tuer	-3
tué	-3
Tuer	-3
tue	-3
genre	2
plus gentils	2
baiser	2
kudos	3
manque	-2
manque d'adaptabilité	-2
décalage	-1
largué	-2
retard	-2
décalages	-2
boiteux	-2
point de repère	2
rire	1
riant	1
rire	1
rire	1
rire	1
lancé	1
Loi sur l'accès à l'information et l'accès à l'information	3
poursuite en justice	-2
poursuite en justice	-2
Paresseux	-1
fuite	-1
fuite	-1
congé	-1
juridique	1
juridique	1
clément	1
léthargique	-2
léthargie	-2
menteur	-3
menteurs	-3
libéléreux	-2
J'ai menti.	-2
sauveteur de vie	4
avec un cœur léger	1
comme	2
aimé	2
aime	2
limitation	-1
limitée	-1
limites	-1
Contentieux	-1
Litiges	-2
vif	2
livides	-2
Lmao	4
Lmfao	4
Défaut d'être	-3
n'ayant pas été pris en considération	-3
Pâtes alimentaires	-3
le désolation;	-3
hall d'entrée	-2
l'exercice d'activités de lobbying	-2
Lol	3
solitaire	-2
solitaire	-2
Aspiration	-1
métiers à tisser	-1
à l'horizon	-1
qui se profilent	-1
métiers à tisser	-1
lâche	-3
lâches	-3
loser	-3
perdre	-3
perte	-3
perdu	-3
Agréable	3
amour	3
aimé	3
amours	3
Magnifique.	3
affectueux	2
le plus bas	-1
loyal	3
fidélisation	3
chance	3
Heureusement	3
chanceux	3
lugubres	-2
lunatique	-3
lunatiques	-3
C'est pas vrai.	-1
En train de rôder	-1
Cerfs	-1
fou	-3
foudroyant	-3
confectionnés	-1
follement	-3
folie	-3
obligatoire	-1
manipulés	-1
manipulant	-1
manipulation	-1
Merveilleux	3
merveilleux	3
merveilles	3
chef-d'œuvre	4
chefs-d'œuvre	4
matière	1
Questions d ' ordre général	1
maturité	2
significatif	2
sans signification	-2
Médaille	3
médiocrité	-3
méditative	1
mélancolie	-2
menace	-2
Menacés	-2
la miséricorde	2
joyeux	3
C'est le désordre.	-2
merdique	-2
C'est la merde.	-2
méthode	2
Sans esprit	-2
miracle	4
mirth	3
mirthful	3
Avec ironie	3
Mauvais comportement	-2
mauvaise conduite	-2
Mauvais comportement	-2
Mauvais comportement	-2
le mal-fondé	-1
malversations	-1
malheureuse	-3
la misère	-2
se méfier	-2
Mauvaise information	-2
mal informé	-2
mal interprété	-2
trompeur	-3
Mauvaise lecture	-1
Mauvaise déclaration	-2
fausse représentation	-2
Mademoiselle	-2
manqué	-2
manquant	-2
erreur	-2
erreur	-2
erreurs	-2
erreur de prise	-2
mécompréhension	-2
Incompréhension	-2
mécompréhension	-2
mal compris	-2
gémissements	-2
gémissements	-2
Les gémissements	-2
les gémissements;	-2
s'il vous plaît.	-2
se moquait	-2
se moquer	-2
des moqueries	-2
Mongering	-2
monopoliser	-2
Monopolisé	-2
monopolise	-2
monopolisation	-2
d'humeur	-1
mope	-1
la morphologie;	-1
Imbécile	-3
Fils de pute	-5
c'est quoi, ce bordel ?	-5
motiver	1
motivé	2
Motivation	2
motivation	1
deuil	-2
deuil	-2
Deuil	-2
deuil	-2
deuils	-2
Morpich	-2
meurtre	-2
meurtrier	-2
meurtre	-3
meurtrière	-3
meurtres	-2
mythe	-1
n00b	-2
naïf	-2
C'est méchant.	-3
naturel	1
naïf	-2
dans le besoin	-2
négatif	-2
négativité	-2
négligence	-2
négligé	-2
négligence	-2
négligences	-2
nerfs	-1
nerveux	-2
nerveux	-2
Sympa.	3
nifty	2
Niggas	-5
Nègre	-5
Non, je ne suis pas d'accord.	-1
pas de plaisir	-3
noble	2
bruyant	-1
Des absurdités	-2
noob	-2
naseux	-2
pas bon	-2
ne fonctionne pas	-3
notoire	-2
roman	2
engourdissement	-1
noix	-3
oblitère	-2
oblitérés	-2
odieux	-3
obscène	-2
obsédés	2
obsolète	-2
obstacle	-2
obstacles	-2
obstiné	-2
étrange	-2
offense	-2
offensé	-2
délinquant	-2
pour infraction à la loi	-2
offenses	-2
hors ligne	-1
C'est bon.	2
omineux	3
une fois dans une vie	3
Possibilités	2
occasion	2
opprimés	-2
oppressive	-2
optimisme	2
optimiste	2
sans option	-2
tollé	-2
outmanovered	-2
outrage	-3
outrés	-3
et de la sensibilisation	2
en suspens	5
surjoyé	4
surcharge	-1
oublié	-1
réaction excessive	-2
surréaction	-2
surréaction	-2
des réactions excessives	-2
survente	-2
survente	-2
surventes	-2
sursimplification	-2
sursimplifié	-2
sursimplifie	-2
sursimplifier	-2
surestimation	-2
surestimations	-2
surpoids	-1
oxymoron	-1
douleur	-2
douleur	-2
